highest rotational speed (revolutions per minute) at which the machine as-built and tested is capable of continuous operation,20
highest speed at which the manufacturer permits continuous operation,20
maximum permissible speed during operation at which the device can be operated,20
This characteristic describes the maximum permissible continuous speed.,20
maximum permissible continuous speed,20
maximum continuous speed at which the machine may be operated,20
lowest speed for continuous operation recommended by the manufacturer,21
lowest operating speed at which the manufacturer's design permits continuous operation,21
lowest speed of the power input rotor at which the manufacturer's design permits continuous operation for the lowest rated conditions,21
lowest rotational speed of the power-input rotor at which the manufacturer's design permits continuous operation,21
lowest speed (revolutions per minute) at which the manufacturerÔÇÖs design shall permit continuous operation,21
minimum speed at which continuous operation is permitted,21
lowest continuous speed at which the manufacturer allows the machine to operate,21
This characteristic describes the lowest speed at which the machine can be operated continuously.,21
minimum permissible continous speed,21
Minimum permissible head at which the pump can be operated without suffering damage,22
smallest total energy height at the outlet side of the pump aggregate to the total energy height of the admission side of the pump aggregate at operating point,22
lowest permissible head,22
this feature describes the smallest head that a pump can permanently deliver during operation.,22
smallest head that the pump can provide in operation without damage,22
minimum permissible head of the pump,22
head which the pump can deliver minimally without breaking down,22
smallest head at which the pump may be operated permanently,22
delivery head of a pump that can deliver it at a minimum without suffering any damage,22
minimum permissible head of a pump,22
Pump power input at zero rate of flow,23
power consumption at flow = 0 and speed guaranteed,23
The pump power input at zero rate of flow.,23
shut-off pump power input,23
power consumption of the pump when no flow is being pumped,23
Zero power consumption which is present when no volume flow is being conveyed.,23
this feature describes the power consumption of a pump when no flow needs to be provided.,23
zero power consumption of a pump,23
Power consumption at no flow rate,23
Ten times the logarithm to the base 10 of the ratio of the square of the sound pressure p to the square of a reference value p0 expressed in decibels,24
logarithmical measure of the pressure of a sound wave relative to a reference level,24
Sound pressure level uses a logarithmic scale to represent the sound pressure of a sound relative to a reference pressure.,24
logarithm of the ratio of a given sound pressure to the reference sound pressure in decibels is 20 times the logarithm to the base ten of the ratio.,24
Sound pressure level is actually a ratio of the absolute Sound Pressure and a reference level (usually the Threshold of Hearing or the lowest intensity sound that can be heard by most people).,24
Sound pressure level (SPL) or acoustic pressure level is a logarithmic measure of the effective pressure of a sound relative to a reference value.,24
The sound pressure level of a sound in decibels is 20 times the logarithm to the base 10 of the ratio of the measured effective sound pressure of this sound to a reference effective sound pressure.,24
calculation in dB as a ratio of the measured sound pressure to a reference sound pressure which for SPL is 20 uPa,24
ten times the logarithm to the base 10 of the ratio of the square of the sound pressure to the square of the reference sound pressure,24
Ten times the logarithm to the base 10 of the ratio of the sound power of a source P to a reference value P0 expressed in decibels,25
ten times the logarithm to the base 10 of the ratio of the sound power radiated by the sound source under test to a reference sound power expressed in decibels (dB),25
ten times the logarithm to the base 10 of the ratio of the sound power radiated by a sound source to the reference sound power (P0 = 10?12 W),25
ten times the logarithm to the base 10 of the ratio of the sound power of a source W to a reference value W0 expressed in decibels,25
Ten times the logarithm to the base 10 of the ratio of the sound power radiated by the source under test to the reference sound power. It is expressed in decibels.,25
Logarithmic measure of the sound power generated by a source as determined using the method given in this part of ISO 9614,25
Ten times the logarithm to the base 10 of the ratio of a given sound power to the reference sound power in decibels.,25
Ten times the common logarithm of the ratio of sound energy to the reference sound energy of 1 pW┬Às expressed in decibels.,26
ten times the logarithm to the base 10 of the ratio of the sound energy J to a reference value J0 expressed in decibels,26
Sound Energy Level is the logarithmic ratio of the sound energy to the reference sound energy.,26
Lowest speed for continuous operation  recommended by the manufacturer,21
Logarithm of the ratio of a given sound pressure to a reference sound pressure. The sound pressure level in decibels is the same as the 20-fold logarithm of this ratio,24
Ten times the logarithm to the base 10 of the ratio of the sound energy J to a reference value J0 expressed in decibels,26
